time,50km/S1/100mh/200ohm,50km/S1/100mh/5ohm,50km/S1/160mh/0.01ohm,50km/S1/160mh/200ohm,50km/S1/160mh/25ohm,50km/S1/160mh/5ohm,50km/S1/40mh/200ohm,550km/S1/100mh/5ohm,550km/S1/160mh/0.01ohm,550km/S1/160mh/200ohm,550km/S1/160mh/25ohm,550km/S1/160ohm/5ohm,700km/S1/160mh/0.01ohm,700km/S1/160mh/200ohm,700km/S1/160mh/25ohm,700km/S1/160mh/5ohm
2.56,24.6970337682,2.99120430769,-1.46830088186,24.1253853114,9.32310609662,3.30817040975,24.1253853114,-20.6300901145,-32.6876430292,26.4722425285,-1.60662168938,-21.8509507352,10.45367555,27.97933138,8.934202034,8.062664144
2.561,23.6860940497,1.79890427237,-2.40161728657,23.551846221,8.38227433859,2.1152926656,23.551846221,-8.38616439401,-32.9532309217,26.4204065163,-2.19610068712,-23.1634862102,7.012991223,28.36640416,9.450215378,6.205463938
2.562,22.453058267,0.0793717854627,-2.67048165139,22.9788293586,7.10670553227,1.47159992053,22.9788293586,-0.0199979231767,-28.3966524873,25.6431706097,-2.21026781225,-21.1682568995,-0.3408749,28.00253591,8.52646362,1.533481769
2.563,21.2056027815,-0.853887172289,-2.82547648256,22.226583702,5.77606575146,0.905736309915,22.226583702,4.28578336652,-18.1849456999,24.4554082947,-1.53436721072,-14.5753387741,-7.618275281,27.33138611,7.335622695,-4.153161312
2.564,19.8643129292,-1.80973584515,-2.93252927601,21.1465783875,4.98070417344,0.312254650902,21.1465783875,5.15718472671,-4.30998819283,22.9044102346,0.335614788416,-4.76442589911,-15.10871515,25.23573272,4.932630336,-10.21630993
2.565,18.6680237727,-1.39499453193,-3.25853730299,19.9790374966,3.82367697585,-0.494166066168,19.9790374966,1.30975690858,2.68813948871,21.2441823537,1.35624330716,0.816350819277,-19.34455743,23.17160587,3.327458848,-13.66915003
2.566,17.5651969882,-0.298450975668,-3.4286653274,18.6385287163,3.09352504737,-0.643925642171,18.6385287163,-3.20218792438,0.841867986186,19.6806853017,1.79113640299,1.43698317603,-19.82228745,20.7091407,1.898613587,-14.86738348
2.567,16.4286090249,-0.90137422464,-2.67194266275,17.2141788488,2.67399077196,-0.876611003057,17.2141788488,-6.45994166486,-6.5223721622,18.2059265162,1.57227822624,-1.8246220675,-17.25638461,18.44837158,0.506629651,-14.98801306
2.568,15.4241857288,-1.2420487655,-3.37651396591,15.9650148289,1.95076963523,-2.27323870944,15.9650148289,-7.85507385475,-14.9846099613,16.9228356329,1.28530054321,-6.77148507154,-11.88893178,16.76234024,0.342908199,-12.68478701
2.569,14.8226925217,-1.38945004919,-2.52633640057,15.1915884188,1.82382890406,-1.87699427878,15.1915884188,-7.76898669737,-20.6941120173,15.6894180811,0.760155449984,-11.0592135544,-6.007678275,14.77648431,0.146194795,-9.113229841
2.57,14.3701099706,-1.74871933983,-1.4181079777,14.6268240104,1.4017743768,-1.04199968939,14.6268240104,-6.16984105461,-20.5972072924,14.4216788144,0.311511324569,-12.1800347393,1.799005343,13.14207073,0.219368271,-3.98725355
2.571,14.3401278321,-1.92762610667,-1.93951770718,14.4085983097,1.18221579756,-1.40307031279,14.4085983097,-3.90541315537,-15.8942991081,13.5429631271,0.0420425651892,-10.9933446987,12.36418406,12.51256396,1.045914484,1.907482907
2.572,14.5052500612,-2.06370368189,-2.22630143132,14.1402739148,0.860628340758,-1.83991363685,14.1402739148,-0.533785039893,-7.92443852688,13.2105427467,0.485711027983,-7.60952559992,22.41567879,11.99633148,1.140761686,6.412739264
2.573,14.5615642927,-2.21483835493,-3.09192303181,14.0431894554,0.669612694531,-2.1777451072,14.0431894554,2.63508635419,1.06125800054,13.1106503743,1.28040250792,-2.79723294947,25.03782623,12.18010598,1.146653519,10.43453738
2.574,14.8993023824,-2.12495012895,-2.87296693865,14.1739911347,0.670460716832,-2.68050602821,14.1739911347,5.53724779292,7.21912803496,13.6066691911,2.19394853527,0.692407251293,26.08006039,13.0216513,2.194962088,14.40006861
2.575,15.3700086436,-2.28649267257,-2.20033586384,14.497962306,0.699195792457,-2.67594541851,14.497962306,8.51492528356,12.6242254457,14.5929480988,3.54529724526,4.3749367507,25.96939556,13.3812733,2.522379901,16.45057808
2.576,15.8939851519,-2.27661098489,-1.58631457304,14.9770904719,0.71504212478,-2.62448896571,14.9770904719,10.2765678892,19.0488931696,15.6412120217,4.70609267068,7.89614935151,25.16328685,14.56495969,4.285110638,18.1904068
2.577,16.5687753049,-2.02475501932,-1.70366514834,15.6568910553,0.788527459468,-2.19248662656,15.6568910553,11.2328777446,23.9615053705,16.8148404486,5.70346850751,9.72898922515,24.15766865,16.09378757,5.805812589,19.11835143
2.578,16.9490522511,-1.36544153206,-0.960448359697,16.2382431565,0.809040393166,-2.13995200931,16.2382431565,11.3942514097,24.8993421809,18.1464382424,6.27475036667,10.4505544938,20.40677629,17.55853914,7.239367516,18.55434813
2.579,17.4313061456,-0.978881494656,-0.285618977586,16.9594972205,0.713621741325,-2.42964475916,16.9594972205,10.7735900824,24.0177226622,19.3521439571,6.66190947751,11.7840332435,21.24460923,19.48383358,8.690028945,17.74119509
2.58,17.8910065357,-0.598565006623,0.279157626638,17.6240042458,0.666871745893,-2.38469354021,17.6240042458,9.4547886808,20.5476933639,20.2622172217,6.64507760737,11.3796089776,21.19325696,20.55004957,9.063843473,15.92233293
2.581,18.2364928596,-0.493151713601,0.753471502414,18.1632158171,0.645629328265,-1.47544623561,18.1632158171,7.89687727606,14.2527804032,20.8567974124,6.50089395844,10.4137405576,20.32334756,21.81241755,8.955634746,13.70537228
2.582,18.5851038783,-0.687718612087,1.21867210733,18.6973011916,0.636181557905,-0.949615265673,18.6973011916,5.89525616812,7.79760744046,21.3199452345,5.87457030867,9.53417019067,18.22507285,23.1979044,8.587714008,11.73758599
2.583,18.8478882542,-0.55582405988,1.87810270715,19.119502081,0.631842629743,-0.662510680341,19.119502081,4.12590288349,5.04031320725,21.5912332015,5.09064308217,8.59879813821,14.61706769,23.52595042,7.532708157,8.236564871
2.584,18.919385951,-0.321014767588,0.69614788611,19.4439901527,0.889864609934,-0.560479139352,19.4439901527,2.50563060499,4.68558045415,21.6835698699,4.10847297122,6.51543052679,11.01889917,23.62791631,5.914596907,4.590339916
2.585,19.0330282069,0.203126482601,1.59331160761,19.6482126304,1.06686490346,0.376359450386,19.6482126304,1.11936643286,4.95078336919,21.6864798345,2.85831777857,4.64447227469,3.560752721,23.34092389,4.053712725,-0.018859709
2.586,19.0030474177,0.180601890769,2.46891125539,19.6700115077,1.25780574137,0.349911745122,19.6700115077,-0.0909587643123,5.99893044179,21.5295149045,1.79135653271,2.87949847434,-6.777053527,22.81082306,2.077541177,-3.404820457
2.587,18.8824149166,0.498734431008,1.68625861386,19.5404135251,1.57360738745,-0.110618212175,19.5404135251,-0.794600439167,6.64266689736,21.2146943352,0.895411188224,1.2289449827,-15.86228237,22.31949552,0.855927869,-6.396184323
2.588,18.8032947102,0.63707879698,0.785387304161,19.3769259974,1.78230620569,0.177174431855,19.3769259974,-0.933840678917,5.45741903945,20.8651698224,0.28954764597,0.148741522911,-24.68061935,21.358262,-0.227069052,-8.140476657
2.589,18.5888451233,0.568173139361,0.890909600583,19.1093514652,1.9200240701,0.361448070662,19.1093514652,-0.84522116158,2.99101993378,20.2161737596,-0.0590038773258,-0.386717793962,-29.11903056,20.296723,-1.305687565,-9.531625617
2.59,18.4010208663,0.890315059661,0.888238972401,18.8135549977,2.27722138316,0.576150448321,18.8135549977,-0.435703343944,0.605395209583,19.5338915227,0.0136287864364,-0.558429772697,-28.23519264,19.51677862,-1.396818214,-9.519637947
2.591,18.2514109433,1.01183403134,0.88543999956,18.5324077972,2.52718780667,0.728609404187,18.5324077972,0.482698811431,-2.22805702524,18.7937654416,0.425493034269,-0.209720327733,-25.63674802,18.43488973,-1.182699698,-8.002403213
2.592,17.9954802995,0.889124970506,0.809933511056,18.188692944,2.57224195877,0.813344328974,18.188692944,1.52066756087,-4.80907052226,18.0844688549,1.00628812944,0.464719534316,-19.03576944,17.22850451,-0.842598495,-6.628141441
2.593,17.888442411,1.01115602017,0.857881897179,17.9461513033,2.81510586758,0.914821199125,17.9461513033,2.28811641638,-5.23823801926,17.4967194378,1.83325157558,1.19083218533,-8.975164459,16.54727983,0.526237922,-3.09286689
2.594,17.803128701,1.03720814396,0.895331881347,17.8080004224,2.98602651685,1.01612911289,17.8080004224,2.92724604235,-4.1037860998,17.1646133088,2.89776267201,2.29533239614,0.467119631,15.77780156,1.666354442,-0.421348522
2.595,17.5011236335,1.05149210137,1.23179849013,17.6040584972,3.00018006135,1.23054474417,17.6040584972,2.73476564181,-2.69327138707,16.8401374523,3.64800230076,3.24232828468,7.616633276,15.0592824,2.424683314,1.606153072
2.596,17.398020145,1.1520162968,1.63063587465,17.4138455001,2.87606058568,1.23899150498,17.4138455001,2.31236310797,0.418763969934,16.7455980736,4.36034576636,3.39536591548,13.01465466,15.15928123,4.058281972,4.140235752
2.597,17.1592236484,1.16913690154,1.99673410758,17.2948765967,2.84635882362,1.30569168345,17.2948765967,1.68981797,2.85248766415,16.7185587031,4.77217395209,3.03890228227,15.20061832,14.89537555,4.767305733,5.300948336
2.598,16.9753708091,1.14080973845,1.63676801824,16.9395963143,2.86662473333,1.18660104347,16.9395963143,0.732628446712,3.38100540081,16.6372598093,4.81732197831,2.26274676938,14.41874757,14.98668138,5.227598387,6.014486047
2.599,16.7765109254,1.15958098177,1.5186616569,16.7563040336,2.78966387901,1.22443007239,16.7563040336,0.157336146485,3.11927686948,16.53893017,4.37551696007,1.13326016177,11.68839347,15.63401215,5.940952755,6.593760596
2.6,16.4556836419,1.0291851757,0.568119800791,16.6134125243,2.57076837665,1.04625216213,16.6134125243,-0.152708809147,2.34395628896,16.598552433,3.98632504739,-0.215025894338,6.672581771,15.97358568,5.388142553,5.780392242
2.601,16.1947802384,0.914293213455,-0.135783324333,16.3351965311,2.48161555979,1.06215482878,16.3351965311,-0.503197016521,0.554567444927,16.6832542422,3.38896862156,-1.0216717819,2.199600586,16.66199659,4.915328605,4.867487566
